links,title,time,content,class
https://nltimes.nl/2022/12/29/hospitals-treating-abnormally-high-number-fireworks-victims,Hospitals not treating abnormally high number of fireworks victims,29 December 2022 - 19:40,,Health
https://nltimes.nl/2022/12/29/man-57-killed-train-accident-train-traffic-still-stalled-area,"Man, 57, killed in train accident; Train traffic still stalled in the area",29 December 2022 - 19:23,,1-1-2
https://nltimes.nl/2022/12/29/refugees-relocated-due-strong-winds,Refugees relocated due to strong winds,29 December 2022 - 18:00,,Health
https://nltimes.nl/2022/12/29/far-right-broadcaster-slapped-second-fine-year-putting-license-risk,"Far-right broadcaster slapped with second fine in a year, putting license at risk",29 December 2022 - 16:20,,PoliticsCultureEntertainment
https://nltimes.nl/2022/12/29/burglars-steal-supplies-red-cross-christmas-eve,Burglars steal supplies from the Red Cross on Christmas Eve,29 December 2022 - 15:30,,Crime
https://nltimes.nl/2022/12/29/council-state-opposes-cabinet-latest-blow-family-reunification-pause,Council of State opposes Cabinet in latest blow to family reunification pause,29 December 2022 - 15:04,,Politics
https://nltimes.nl/2022/12/29/prominent-dutch-virologist-coronavirus-test-travelers-china-good-idea,Prominent Dutch virologist: Coronavirus test for travelers from China is a good idea,29 December 2022 - 13:50,,Health
https://nltimes.nl/2022/12/29/cody-gakpo-completes-medical-check-finalizes-move-liverpool,Cody Gakpo completes medical check and finalizes move to Liverpool,29 December 2022 - 13:32,,Sports
https://nltimes.nl/2022/12/29/dutch-history-teachers-think-children-learn-slavery-age-7,Dutch history teachers think children should learn about slavery from the age of 7,29 December 2022 - 11:20,,CultureLifestyle
https://nltimes.nl/2022/12/29/fireworks-sales-start-today-2-years-covid-restrictions-german-market-popular,Fireworks sales start today after 2 years of Covid restrictions; German market popular,29 December 2022 - 10:30,,Business
/2023/01/08/foreign-minister-hoekstra-summons-iranian-ambassador-executions,Foreign Minister Hoekstra summons Iranian ambassador over executions,8 January 2023 - 09:45,,Politics
/2023/01/08/many-people-still-looking-alleged-nazi-treasure-near-ommeren,Many people still looking for alleged Nazi treasure near Ommeren,8 January 2023 - 09:13,,PoliticsCultureWeird
/2023/01/08/train-traffic-zwolle-meppel-back-track-repairs,Train traffic between Zwolle and Meppel back on track after repairs,8 January 2023 - 08:30,,1-1-2Business
